campus,state,full_time,part_time,established,date
uitm_shah_alam,Selangor,35110,8673,1967,2025-12
uitm_kampus_puncak_alam,Selangor,19913,4249,2009,2025-12
uitm_kampus_puncak_perdana,Selangor,4582,118,2004,2025-12
uitm_kampus_hospital_sg_buloh,Selangor,2360,7,2012,2025-12
uitm_kampus_dengkil,Selangor,4120,0,2015,2025-12
uitm_kampus_arau,Perlis,7341,180,1974,2025-12
uitm_kampus_sungai_petani,Kedah,6277,512,1997,2025-12
uitm_kampus_permatang_pauh,Penang,5666,169,1996,2025-12
uitm_kampus_bertam,Penang,1122,0,2011,2025-12
uitm_kampus_seri_iskandar,Perak,8342,421,1985,2025-12
uitm_kampus_tapah,Perak,4826,0,2010,2025-12
uitm_kampus_kuala_pilah_beting,Negeri Sembilan,2356,11,1999,2025-12
uitm_kampus_seremban_3,Negeri Sembilan,5872,138,2014,2025-12
uitm_kampus_rembau,Negeri Sembilan,3074,0,2017,2025-12
uitm_kampus_alor_gajah,Melaka,8563,0,1984,2025-12
uitm_kampus_bandaraya_melaka,Melaka,2896,518,2006,2025-12
uitm_kampus_jasin,Melaka,4035,47,2014,2025-12
uitm_kampus_segamat,Johor,7621,262,1983,2025-12
uitm_kampus_pasir_gudang,Johor,2724,126,2014,2025-12
uitm_kampus_jengka,Pahang,5876,145,1985,2025-12
uitm_kampus_raub,Pahang,3009,0,2015,2025-12
uitm_kampus_dungun,Terengganu,6082,204,1975,2025-12
uitm_kampus_kuala_terengganu_cendering,Terengganu,1455,0,2008,2025-12
uitm_kampus_bukit_besi,Terengganu,937,0,2013,2025-12
uitm_kampus_machang,Kelantan,6682,0,1985,2025-12
uitm_kampus_kota_bharu,Kelantan,1265,289,2006,2025-12
uitm_kampus_kota_kinabalu,Sabah,4996,864,1973,2025-12
uitm_kampus_tawau,Sabah,180,0,1996,2025-12
uitm_kampus_samarahan,Sarawak,3679,849,1973,2025-12
uitm_kampus_samarahan_2,Sarawak,4115,0,2013,2025-12
uitm_kampus_mukah,Sarawak,1083,0,2002,2025-12
affiliated_colleges,Selangor,2572,0,0,2025-12
