faculty,full_time,part_time,date
electrical_engineering,"3,352",92,2025-12
mechanical_engineering,"3,702",96,2025-12
civil_engineering,"3,538",235,2025-12
chemical_engineering,"2,353",19,2025-12
academy_of_language_studies,"2,971",79,2025-12
academy_of_contemporary_islamic_studies,"3,824",154,2025-12
arshad_ayub_graduate_business_school_(aagbs),242,826,2025-12
pharmacy,"1,492",15,2025-12
education,"3,013",153,2025-12
business_and_management,"39,743","7,158",2025-12
hotel_and_tourism_management,"8,106",331,2025-12
accountancy,"13,552","2,023",2025-12
dentistry,845,5,2025-12
plantation_and_agrotechnology,"3,134",183,2025-12
medicine,"1,735",3,2025-12
applied_sciences,"13,471",214,2025-12
health_sciences,"3,378","1,161",2025-12
administrative_science_and_policy_studies,"8,181","1,556",2025-12
sports_science_and_recreation,"5,801",333,2025-12
law,"3,156",121,2025-12
malaysia_institute_of_transport_(mitrans),47,34,2025-12
accounting_research_institute_(ari),50,41,2025-12
centre_of_foundation_studies,"2,773",0,2025-12
mass_communication,"3,550",358,2025-12
computer_science_and_mathematics,"18,629","1,160",2025-12
information_science,"6,368",391,2025-12
music,621,9,2025-12
film_theatre_and_animation,"2,461",6,2025-12
art_and_design,"5,830",381,2025-12
built_environment,"12,813",645,2025-12
