state,enrollment,date
uitm_perlis,6403,2025-06
uitm_kedah,6734,2025-06
uitm_penang,5574,2025-06
uitm_perak,11827,2025-06
uitm_selangor,75436,2025-06
uitm_negeri_sembilan,10424,2025-06
uitm_melaka,14127,2025-06
uitm_johor,9420,2025-06
uitm_pahang,7239,2025-06
uitm_terengganu,6970,2025-06
uitm_kelantan,7160,2025-06
uitm_sabah,5220,2025-06
uitm_sarawak,8298,2025-06
uitm_affiliate_colleges,2011,2025-06
uitm_perlis,7558,2025-09
uitm_kedah,6830,2025-09
uitm_penang,7097,2025-09
uitm_perak,13779,2025-09
uitm_selangor,78435,2025-09
uitm_negeri_sembilan,11492,2025-09
uitm_melaka,16085,2025-09
uitm_johor,10860,2025-09
uitm_pahang,9226,2025-09
uitm_terengganu,8763,2025-09
uitm_kelantan,8345,2025-09
uitm_sabah,6062,2025-09
uitm_sarawak,9735,2025-09
uitm_affiliate_colleges,1929,2025-09
