metric,value,date
total_enrollment,176843,2025-06
full_time_enrollment,159931,2025-06
part_time_enrollment,16912,2025-06
graduates,1108629,2025-06
staff,19284,2025-06
academic_programs,518,2025-06
total_campus,34,2025-06
total_faculties,24,2025-06
total_academic_centres,7,2025-06
academic_staff,9000,2025-06
administrative_staff,10284,2025-06
total_enrollment,196196,2025-09
full_time_enrollment,177674,2025-09
part_time_enrollment,16593,2025-09
graduates,1133273,2025-09
staff,19374,2025-09
academic_programs,520,2025-09
total_campus,34,2025-09
total_faculties,24,2025-09
total_academic_centres,7,2025-09
academic_staff,9031,2025-09
administrative_staff,10343,2025-09
professor,246,2025-09
post_graduate_students,"10,710",2025-09
mou-moa,612,2025-09
indexed-journal,75693,2025-09
mooc,641,2025-09
micro-credential,111,2025-09
total_enrollment,196513,2025-12
full_time_enrollment,176159,2025-12
part_time_enrollment,17782,2025-12
graduates,1165903,2025-12
staff,19429,2025-12
academic_programs,520,2025-12
total_campus,34,2025-12
total_faculties,24,2025-12
total_academic_centres,7,2025-12
academic_staff,9043,2025-12
administrative_staff,10449,2025-12
professor,251,2025-12
post_graduate_students,11183,2025-12
mou-moa,612,2025-12
indexed-journal,75693,2025-12
mooc,641,2025-12
micro-credential,111,2025-12
