year,graduates,date
2010,36578,2025-06
2011,38462,2025-06
2012,43947,2025-06
2013,51254,2025-06
2014,53481,2025-06
2015,38441,2025-06
2016,41314,2025-06
2017,55053,2025-06
2018,50548,2025-06
2019,47508,2025-06
2020,50121,2025-06
2021,53071,2025-06
2022,59782,2025-06
2023,52736,2025-06
2024,52653,2025-06
2010,36578,2025-09
2011,38462,2025-09
2012,43947,2025-09
2013,51254,2025-09
2014,53481,2025-09
2015,38441,2025-09
2016,41314,2025-09
2017,55053,2025-09
2018,50548,2025-09
2019,47508,2025-09
2020,50121,2025-09
2021,53071,2025-09
2022,59782,2025-09
2023,52736,2025-09
2024,52653,2025-09
2025,24644,2025-09
